Student_ID,School_ID,State,District,Area,Gender,Caste,Age,Standard,Annual_Family_Income_INR,Attendance_Percent,Distance_From_School_KM,Dropout_Status,Dropout_Reason
STU00034,SCH1224,Madhya Pradesh,Indore,Urban,Female,SC,13,9,75000,85,6.1,Yes,Health Issues
STU00035,SCH1187,Maharashtra,Nagpur,Semi-Urban,Female,General,18,12,150000,70,5.9,No,None
STU00036,SCH1181,Rajasthan,Jodhpur,Rural,Male,General,15,10,150000,76,2.6,No,None
STU00037,SCH1230,Gujarat,Ahmedabad,Semi-Urban,Female,OBC,12,7,100000,87,6.9,No,None
STU00038,SCH1244,Gujarat,Vadodara,Urban,Female,General,7,2,500000,70,0.2,No,None
STU00039,SCH1202,Maharashtra,Nagpur,Rural,Female,OBC,12,6,100000,100,1.3,No,None
STU00040,SCH1191,Rajasthan,Kota,Rural,Male,General,15,11,200000,77,4.7,No,None
STU00041,SCH1080,Rajasthan,Jaipur,Rural,Female,OBC,14,10,500000,49,5.0,Yes,Poverty
STU00042,SCH1144,Uttar Pradesh,Agra,Rural,Female,OBC,9,3,100000,78,6.5,Yes,Lack of Transport
STU00043,SCH1136,Uttar Pradesh,Kanpur,Urban,Male,OBC,15,11,100000,84,0.9,No,None
STU00044,SCH1157,Rajasthan,Jaipur,Rural,Other,SC,14,10,100000,50,4.9,Yes,Poverty
STU00045,SCH1005,Uttar Pradesh,Aligarh,Semi-Urban,Male,OBC,11,6,50000,80,6.1,Yes,Child Labour
STU00046,SCH1129,Maharashtra,Nagpur,Rural,Male,ST,10,5,200000,73,0.2,No,None
STU00047,SCH1202,Madhya Pradesh,Jabalpur,Rural,Female,OBC,12,7,300000,100,5.0,No,None
STU00048,SCH1182,Maharashtra,Nashik,Semi-Urban,Male,General,6,1,200000,87,3.5,No,None
STU00049,SCH1151,Uttar Pradesh,Agra,Urban,Female,ST,7,3,200000,69,9.8,Yes,Lack of Transport
STU00050,SCH1052,Uttar Pradesh,Agra,Rural,Male,OBC,11,7,100000,98,5.7,No,None
STU00051,SCH1145,Maharashtra,Nashik,Rural,Female,OBC,6,2,150000,75,7.0,No,None
STU00052,SCH1080,Madhya Pradesh,Bhopal,Rural,Male,General,11,5,100000,77,0.2,No,None
STU00053,SCH1122,Uttar Pradesh,Lucknow,Semi-Urban,Male,OBC,13,9,100000,63,4.8,No,None
STU00054,SCH1026,Gujarat,Rajkot,Rural,Male,OBC,15,9,100000,70,0.5,No,None
STU00055,SCH1113,Maharashtra,Nagpur,Semi-Urban,Male,SC,14,9,50000,90,1.9,Yes,Migration
STU00056,SCH1238,Gujarat,Rajkot,Urban,Male,SC,12,7,75000,78,4.9,Yes,Lack of Transport
STU00057,SCH1017,Rajasthan,Jaipur,Urban,Male,OBC,7,2,200000,81,0.3,No,None
STU00058,SCH1034,Rajasthan,Jaipur,Rural,Female,SC,6,1,100000,61,3.7,No,None
STU00059,SCH1150,Maharashtra,Aurangabad,Rural,Male,OBC,8,3,150000,57,4.9,No,None
STU00060,SCH1036,Rajasthan,Kota,Semi-Urban,Male,General,16,11,50000,59,0.2,Yes,Lack of Interest
STU00061,SCH1079,Gujarat,Rajkot,Urban,Female,SC,17,12,75000,85,4.0,No,None
STU00062,SCH1142,Madhya Pradesh,Jabalpur,Urban,Female,SC,10,5,200000,100,8.1,No,None
STU00063,SCH1101,Madhya Pradesh,Bhopal,Urban,Male,OBC,16,11,100000,68,5.4,Yes,Child Labour
STU00064,SCH1064,Maharashtra,Pune,Semi-Urban,Male,ST,17,12,75000,68,5.2,Yes,Poor Academic Performance
STU00065,SCH1062,Madhya Pradesh,Jabalpur,Rural,Female,SC,16,10,75000,87,0.3,Yes,Family Issues
STU00066,SCH1104,Uttar Pradesh,Aligarh,Urban,Female,OBC,11,5,300000,73,5.6,No,None
STU00067,SCH1244,Uttar Pradesh,Agra,Urban,Female,OBC,8,3,75000,85,6.6,Yes,Lack of Interest
STU00068,SCH1118,Maharashtra,Pune,Urban,Female,General,18,12,200000,100,7.6,No,None
STU00069,SCH1130,Madhya Pradesh,Gwalior,Rural,Male,OBC,9,3,75000,89,1.2,Yes,Migration
STU00070,SCH1107,Gujarat,Surat,Urban,Female,ST,16,10,75000,75,0.2,Yes,Poverty
STU00071,SCH1137,Madhya Pradesh,Jabalpur,Rural,Male,SC,7,1,50000,68,6.8,Yes,Lack of Interest
STU00072,SCH1115,Uttar Pradesh,Agra,Urban,Male,General,6,1,200000,70,0.4,No,None
STU00073,SCH1075,Madhya Pradesh,Gwalior,Urban,Male,SC,14,8,100000,90,0.2,No,None
STU00074,SCH1245,Uttar Pradesh,Lucknow,Semi-Urban,Female,General,16,10,75000,90,0.5,Yes,Lack of Interest
STU00075,SCH1086,Maharashtra,Pune,Rural,Male,General,16,11,500000,100,0.2,Yes,Poverty
STU00076,SCH1001,Uttar Pradesh,Agra,Rural,Male,OBC,13,8,100000,78,4.3,No,None
STU00077,SCH1055,Uttar Pradesh,Agra,Rural,Female,OBC,7,2,200000,73,1.7,No,None
STU00078,SCH1067,Gujarat,Surat,Rural,Female,ST,7,3,300000,85,6.6,No,None
STU00079,SCH1096,Uttar Pradesh,Agra,Urban,Male,SC,18,12,150000,72,2.9,No,None
STU00080,SCH1188,Uttar Pradesh,Kanpur,Urban,Female,General,9,5,300000,78,4.3,No,None
STU00081,SCH1137,Gujarat,Ahmedabad,Rural,Female,OBC,6,1,100000,95,1.8,No,None
STU00082,SCH1115,Rajasthan,Kota,Rural,Male,SC,11,7,300000,69,2.7,Yes,Migration
STU00083,SCH1070,Maharashtra,Aurangabad,Rural,Male,General,7,1,100000,94,6.4,No,None
STU00084,SCH1249,Maharashtra,Pune,Urban,Female,General,14,9,75000,86,7.6,Yes,Migration
STU00085,SCH1029,Gujarat,Vadodara,Rural,Male,SC,6,1,100000,80,2.9,No,None
STU00086,SCH1250,Rajasthan,Jaipur,Rural,Female,ST,16,11,500000,66,3.4,Yes,Poverty
STU00087,SCH1201,Rajasthan,Jodhpur,Rural,Male,OBC,8,4,100000,72,4.1,No,None
STU00088,SCH1187,Madhya Pradesh,Gwalior,Urban,Male,General,13,8,50000,51,2.7,Yes,Lack of Interest
STU00089,SCH1215,Madhya Pradesh,Indore,Rural,Male,General,15,9,300000,90,5.0,Yes,Lack of Interest
STU00090,SCH1135,Gujarat,Vadodara,Rural,Female,General,17,12,50000,98,0.4,Yes,Poverty
STU00091,SCH1146,Madhya Pradesh,Gwalior,Semi-Urban,Female,ST,14,9,100000,78,3.6,Yes,Poor Academic Performance
STU00092,SCH1241,Uttar Pradesh,Kanpur,Urban,Male,SC,17,11,200000,83,3.0,No,None
STU00093,SCH1034,Rajasthan,Jaipur,Rural,Female,OBC,11,5,300000,61,0.2,No,None
STU00094,SCH1239,Uttar Pradesh,Agra,Rural,Male,SC,12,7,100000,78,5.8,No,None
STU00095,SCH1068,Maharashtra,Nashik,Urban,Male,SC,14,9,50000,57,1.2,Yes,Poverty
STU00096,SCH1046,Madhya Pradesh,Bhopal,Urban,Male,SC,14,9,300000,100,6.0,No,None
STU00097,SCH1237,Uttar Pradesh,Lucknow,Urban,Male,ST,18,12,300000,95,7.6,No,None
STU00098,SCH1123,Gujarat,Surat,Urban,Female,OBC,13,8,150000,76,5.1,No,None
STU00099,SCH1073,Gujarat,Surat,Rural,Female,General,7,2,75000,81,0.2,No,None
STU00100,SCH1226,Uttar Pradesh,Kanpur,Urban,Male,SC,18,12,100000,64,3.8,No,None
STU00101,SCH1115,Rajasthan,Jodhpur,Rural,Female,General,11,7,500000,78,6.1,No,None
STU00102,SCH1089,Gujarat,Rajkot,Rural,Male,SC,16,10,150000,93,5.6,Yes,Lack of Interest
STU00103,SCH1039,Rajasthan,Jodhpur,Semi-Urban,Male,SC,16,11,100000,69,5.1,Yes,Child Labour
STU00104,SCH1088,Madhya Pradesh,Jabalpur,Semi-Urban,Male,OBC,12,7,150000,72,5.4,No,None
STU00105,SCH1221,Madhya Pradesh,Gwalior,Semi-Urban,Female,OBC,11,6,100000,87,4.0,No,None
STU00106,SCH1227,Rajasthan,Kota,Rural,Male,SC,9,4,100000,85,2.0,Yes,Poor Academic Performance
STU00107,SCH1099,Rajasthan,Jodhpur,Rural,Female,OBC,18,12,75000,88,3.4,Yes,Child Labour
STU00108,SCH1208,Madhya Pradesh,Gwalior,Rural,Male,SC,9,5,75000,75,5.1,Yes,Health Issues
STU00109,SCH1241,Rajasthan,Kota,Urban,Male,OBC,8,2,200000,66,5.1,No,None
STU00110,SCH1199,Rajasthan,Udaipur,Urban,Male,General,16,12,75000,99,7.6,No,None
STU00111,SCH1009,Uttar Pradesh,Aligarh,Urban,Female,ST,17,11,100000,56,5.0,Yes,Poverty
STU00112,SCH1239,Madhya Pradesh,Indore,Urban,Male,ST,7,3,100000,56,1.2,Yes,Poor Academic Performance
STU00113,SCH1054,Uttar Pradesh,Aligarh,Rural,Female,ST,14,8,200000,73,3.6,Yes,Migration
STU00114,SCH1166,Gujarat,Rajkot,Urban,Female,SC,6,1,200000,91,0.2,No,None
STU00115,SCH1223,Gujarat,Ahmedabad,Rural,Female,General,15,10,500000,100,7.0,Yes,Health Issues
STU00116,SCH1127,Gujarat,Rajkot,Rural,Female,OBC,9,4,150000,83,6.9,No,None
STU00117,SCH1119,Uttar Pradesh,Agra,Urban,Female,General,14,10,75000,62,2.2,Yes,Poverty
STU00118,SCH1191,Gujarat,Surat,Rural,Other,ST,11,5,75000,76,2.2,Yes,Poverty
STU00119,SCH1050,Rajasthan,Jaipur,Rural,Male,SC,10,5,200000,78,7.5,Yes,Migration
STU00120,SCH1131,Madhya Pradesh,Bhopal,Rural,Female,SC,9,4,500000,93,1.3,No,None
STU00121,SCH1078,Madhya Pradesh,Bhopal,Rural,Female,General,13,7,300000,69,1.8,No,None
STU00122,SCH1089,Madhya Pradesh,Indore,Rural,Male,OBC,11,7,150000,83,4.2,No,None
STU00123,SCH1139,Maharashtra,Aurangabad,Rural,Female,OBC,7,2,75000,77,4.7,Yes,Family Issues
STU00124,SCH1028,Madhya Pradesh,Bhopal,Rural,Male,OBC,17,12,300000,92,1.6,No,None
STU00125,SCH1108,Maharashtra,Nagpur,Rural,Female,OBC,10,5,200000,93,4.1,No,None
STU00126,SCH1020,Gujarat,Vadodara,Urban,Male,OBC,10,6,75000,78,7.8,Yes,Lack of Interest
STU00127,SCH1084,Uttar Pradesh,Agra,Rural,Female,SC,7,1,150000,100,3.2,No,None
STU00128,SCH1210,Madhya Pradesh,Indore,Semi-Urban,Male,General,12,8,75000,85,3.2,No,None
STU00129,SCH1208,Maharashtra,Nashik,Semi-Urban,Female,General,13,8,150000,61,5.2,No,None
STU00130,SCH1077,Maharashtra,Nashik,Semi-Urban,Other,General,17,12,100000,92,4.3,No,None
STU00131,SCH1083,Maharashtra,Nagpur,Rural,Male,OBC,9,4,200000,88,5.1,No,None
STU00132,SCH1035,Maharashtra,Pune,Rural,Female,OBC,6,2,150000,92,6.2,Yes,Poverty
STU00133,SCH1198,Gujarat,Surat,Rural,Female,OBC,8,4,100000,78,6.3,No,None
STU00134,SCH1080,Rajasthan,Jodhpur,Rural,Female,SC,16,12,150000,80,2.8,Yes,Poor Academic Performance
STU00135,SCH1240,Rajasthan,Jodhpur,Semi-Urban,Female,General,14,10,100000,77,1.1,No,None
STU00136,SCH1108,Madhya Pradesh,Gwalior,Rural,Female,General,17,12,100000,82,0.9,No,None
STU00137,SCH1007,Gujarat,Surat,Rural,Female,General,18,12,75000,77,4.9,Yes,Migration
STU00138,SCH1125,Uttar Pradesh,Aligarh,Urban,Female,SC,12,7,75000,95,0.2,Yes,Health Issues
STU00139,SCH1202,Maharashtra,Nashik,Semi-Urban,Male,SC,16,10,150000,86,5.2,Yes,Poverty
STU00140,SCH1138,Uttar Pradesh,Kanpur,Urban,Male,General,7,1,150000,59,5.9,Yes,Poverty
STU00141,SCH1169,Madhya Pradesh,Indore,Rural,Male,OBC,14,9,150000,49,0.2,Yes,Poverty
STU00142,SCH1060,Rajasthan,Udaipur,Rural,Female,OBC,10,4,100000,100,0.9,No,None
STU00143,SCH1003,Gujarat,Rajkot,Semi-Urban,Male,OBC,10,6,150000,48,4.4,No,None
STU00144,SCH1055,Uttar Pradesh,Lucknow,Urban,Male,OBC,12,7,500000,58,6.8,Yes,Migration
STU00145,SCH1030,Maharashtra,Nagpur,Rural,Male,ST,17,11,100000,66,5.5,Yes,Poverty
STU00146,SCH1002,Maharashtra,Pune,Urban,Male,General,17,12,75000,83,0.6,No,None
STU00147,SCH1171,Uttar Pradesh,Aligarh,Rural,Male,OBC,14,8,150000,90,3.6,No,None
STU00148,SCH1067,Rajasthan,Kota,Rural,Male,OBC,17,12,150000,100,7.9,Yes,Child Labour
STU00149,SCH1025,Rajasthan,Kota,Rural,Male,General,14,9,100000,78,3.9,No,None
STU00150,SCH1226,Maharashtra,Aurangabad,Urban,Female,SC,6,1,500000,100,4.8,No,None
STU00151,SCH1020,Madhya Pradesh,Bhopal,Rural,Male,General,9,3,75000,87,3.9,No,None
STU00152,SCH1178,Madhya Pradesh,Gwalior,Rural,Male,OBC,7,3,75000,75,3.3,No,None
STU00153,SCH1080,Madhya Pradesh,Gwalior,Urban,Other,General,13,8,75000,68,2.7,Yes,Poor Academic Performance
STU00154,SCH1007,Maharashtra,Pune,Rural,Male,OBC,12,8,100000,100,0.2,No,None
STU00155,SCH1230,Uttar Pradesh,Kanpur,Semi-Urban,Male,OBC,11,6,75000,74,0.9,Yes,Poverty
STU00156,SCH1241,Madhya Pradesh,Indore,Urban,Female,OBC,18,12,50000,66,3.2,Yes,Migration
STU00157,SCH1180,Madhya Pradesh,Jabalpur,Urban,Male,General,12,6,200000,43,2.4,No,None
STU00158,SCH1242,Gujarat,Vadodara,Semi-Urban,Male,OBC,6,1,200000,93,3.0,No,None
STU00159,SCH1188,Gujarat,Rajkot,Rural,Male,OBC,17,12,300000,97,7.4,Yes,Poverty
STU00160,SCH1017,Rajasthan,Jaipur,Rural,Male,General,12,6,150000,76,3.2,No,None
STU00161,SCH1235,Madhya Pradesh,Jabalpur,Urban,Male,OBC,10,6,200000,62,4.8,No,None
STU00162,SCH1126,Gujarat,Ahmedabad,Rural,Male,SC,17,11,100000,44,2.7,Yes,Poverty
STU00163,SCH1013,Maharashtra,Pune,Urban,Male,SC,14,9,75000,62,3.3,Yes,Child Labour
STU00164,SCH1217,Rajasthan,Kota,Urban,Male,ST,16,11,100000,85,0.2,No,None
STU00165,SCH1012,Gujarat,Ahmedabad,Rural,Female,SC,9,4,50000,89,2.6,Yes,Lack of Transport
STU00166,SCH1022,Madhya Pradesh,Bhopal,Rural,Female,SC,13,8,75000,82,4.3,Yes,Migration
STU00167,SCH1022,Madhya Pradesh,Bhopal,Semi-Urban,Female,General,7,1,100000,71,1.1,No,None
STU00168,SCH1186,Uttar Pradesh,Agra,Rural,Male,General,11,6,300000,94,0.5,No,None
STU00169,SCH1128,Maharashtra,Aurangabad,Rural,Other,General,10,5,200000,81,0.2,No,None
STU00170,SCH1162,Gujarat,Vadodara,Rural,Female,General,18,12,50000,95,1.5,Yes,Lack of Transport
STU00171,SCH1024,Rajasthan,Jodhpur,Semi-Urban,Male,SC,8,3,100000,100,2.5,No,None
STU00172,SCH1004,Madhya Pradesh,Bhopal,Rural,Male,OBC,13,8,200000,72,4.0,No,None
STU00173,SCH1147,Madhya Pradesh,Bhopal,Rural,Male,General,8,4,50000,100,2.7,Yes,Migration
STU00174,SCH1094,Uttar Pradesh,Lucknow,Urban,Female,ST,13,7,200000,69,0.2,No,None
STU00175,SCH1161,Maharashtra,Nagpur,Rural,Male,General,6,1,200000,64,6.1,Yes,Child Labour
STU00176,SCH1050,Uttar Pradesh,Agra,Rural,Female,OBC,11,6,150000,61,2.3,No,None
STU00177,SCH1069,Uttar Pradesh,Aligarh,Rural,Female,OBC,16,10,300000,71,4.8,Yes,Child Labour
STU00178,SCH1070,Gujarat,Rajkot,Rural,Male,General,10,6,100000,84,7.7,No,None
STU00179,SCH1163,Maharashtra,Nashik,Rural,Male,SC,17,12,500000,63,1.3,Yes,Lack of Interest
STU00180,SCH1007,Gujarat,Vadodara,Urban,Male,OBC,18,12,50000,67,0.2,Yes,Poverty
STU00181,SCH1057,Gujarat,Rajkot,Semi-Urban,Female,OBC,13,8,50000,54,2.2,Yes,Poverty
STU00182,SCH1071,Gujarat,Vadodara,Rural,Male,ST,13,7,100000,77,1.7,No,None
STU00183,SCH1238,Maharashtra,Pune,Rural,Male,OBC,13,7,200000,100,5.9,No,None
STU00184,SCH1088,Madhya Pradesh,Indore,Rural,Female,OBC,7,2,100000,34,5.0,Yes,Child Labour
STU00185,SCH1110,Rajasthan,Jodhpur,Urban,Male,SC,15,10,75000,70,1.1,Yes,Poverty
STU00186,SCH1097,Uttar Pradesh,Aligarh,Urban,Other,SC,14,10,50000,65,5.7,Yes,Family Issues
STU00187,SCH1008,Uttar Pradesh,Lucknow,Urban,Male,OBC,12,8,100000,70,2.2,No,None
STU00188,SCH1012,Rajasthan,Jaipur,Semi-Urban,Female,OBC,10,6,150000,67,4.7,No,None
STU00189,SCH1101,Gujarat,Surat,Semi-Urban,Female,OBC,8,2,75000,69,2.2,Yes,Family Issues
STU00190,SCH1162,Uttar Pradesh,Kanpur,Semi-Urban,Female,OBC,14,10,100000,86,4.4,No,None
STU00191,SCH1162,Rajasthan,Udaipur,Urban,Male,General,11,6,150000,100,4.1,No,None
STU00192,SCH1216,Uttar Pradesh,Aligarh,Urban,Male,ST,17,11,200000,59,0.2,Yes,Migration
STU00193,SCH1041,Uttar Pradesh,Kanpur,Rural,Male,SC,17,12,50000,69,2.5,Yes,Poor Academic Performance
STU00194,SCH1248,Maharashtra,Pune,Urban,Female,OBC,17,12,200000,87,2.7,No,None
STU00195,SCH1153,Rajasthan,Jodhpur,Rural,Female,General,12,7,75000,98,6.0,Yes,Poverty
STU00196,SCH1219,Maharashtra,Pune,Urban,Female,ST,10,5,200000,59,5.6,No,None
STU00197,SCH1084,Uttar Pradesh,Agra,Rural,Male,General,7,3,75000,97,2.6,Yes,Poverty
STU00198,SCH1119,Maharashtra,Nagpur,Urban,Female,SC,8,3,500000,73,1.2,No,None
STU00199,SCH1142,Maharashtra,Aurangabad,Urban,Male,General,8,3,50000,52,4.8,Yes,Family Issues
STU00200,SCH1176,Maharashtra,Aurangabad,Urban,Female,SC,16,12,100000,89,6.6,Yes,Poverty
STU00201,SCH1209,Uttar Pradesh,Agra,Rural,Female,General,7,1,150000,81,5.1,No,None
STU00202,SCH1092,Uttar Pradesh,Lucknow,Rural,Male,ST,9,3,200000,76,7.0,Yes,Poverty
STU00203,SCH1214,Rajasthan,Jaipur,Rural,Male,OBC,8,3,500000,68,0.2,No,None
STU00204,SCH1035,Rajasthan,Kota,Semi-Urban,Male,OBC,15,10,100000,58,0.2,Yes,Migration
STU00205,SCH1039,Rajasthan,Udaipur,Urban,Female,SC,6,1,200000,70,5.4,No,None
STU00206,SCH1183,Gujarat,Surat,Urban,Male,SC,11,6,200000,98,6.1,No,None
STU00207,SCH1076,Maharashtra,Nagpur,Urban,Female,ST,18,12,75000,57,0.2,Yes,Poverty
STU00208,SCH1068,Madhya Pradesh,Jabalpur,Rural,Female,ST,6,1,300000,89,2.6,No,None
STU00209,SCH1041,Maharashtra,Nagpur,Rural,Male,OBC,9,4,300000,52,1.3,Yes,Lack of Transport
STU00210,SCH1155,Gujarat,Surat,Semi-Urban,Male,OBC,16,10,150000,84,4.5,No,None
STU00211,SCH1055,Madhya Pradesh,Bhopal,Rural,Female,ST,18,12,150000,41,7.4,Yes,Poverty
STU00212,SCH1073,Maharashtra,Nagpur,Rural,Female,General,14,9,300000,79,1.7,No,None
STU00213,SCH1104,Madhya Pradesh,Bhopal,Rural,Male,SC,15,10,300000,75,5.5,Yes,Family Issues
STU00214,SCH1146,Gujarat,Rajkot,Rural,Female,General,17,11,300000,76,4.1,No,None
STU00215,SCH1116,Rajasthan,Jodhpur,Urban,Male,OBC,16,11,150000,53,6.7,Yes,Poverty
STU00216,SCH1107,Maharashtra,Pune,Rural,Male,ST,7,1,75000,100,3.2,Yes,Family Issues
STU00217,SCH1196,Gujarat,Surat,Urban,Female,OBC,7,2,300000,88,2.7,No,None
STU00218,SCH1141,Madhya Pradesh,Indore,Semi-Urban,Male,General,16,11,200000,80,3.5,No,None
STU00219,SCH1044,Gujarat,Vadodara,Urban,Female,OBC,11,5,75000,59,1.3,Yes,Poverty
STU00220,SCH1152,Madhya Pradesh,Gwalior,Rural,Female,General,18,12,200000,96,0.9,No,None
STU00221,SCH1173,Gujarat,Surat,Rural,Male,General,10,5,150000,81,4.7,No,None
STU00222,SCH1048,Uttar Pradesh,Agra,Semi-Urban,Female,OBC,17,11,300000,77,3.2,No,None
STU00223,SCH1155,Rajasthan,Udaipur,Rural,Female,OBC,9,5,150000,50,8.3,No,None
STU00224,SCH1048,Gujarat,Vadodara,Rural,Other,OBC,8,2,200000,100,4.9,No,None
STU00225,SCH1013,Maharashtra,Aurangabad,Semi-Urban,Male,SC,9,3,50000,75,6.0,Yes,Lack of Interest
STU00226,SCH1057,Uttar Pradesh,Agra,Rural,Male,OBC,11,6,200000,89,1.3,No,None
STU00227,SCH1143,Uttar Pradesh,Agra,Urban,Other,General,7,3,50000,96,0.2,No,None
STU00228,SCH1004,Madhya Pradesh,Jabalpur,Urban,Female,SC,14,9,100000,69,1.1,Yes,Family Issues
STU00229,SCH1162,Uttar Pradesh,Agra,Rural,Female,OBC,13,8,50000,67,4.3,Yes,Poverty
STU00230,SCH1027,Gujarat,Ahmedabad,Urban,Male,General,18,12,200000,92,3.1,No,None
STU00231,SCH1214,Madhya Pradesh,Gwalior,Semi-Urban,Male,OBC,10,5,150000,98,0.2,No,None
STU00232,SCH1079,Gujarat,Ahmedabad,Rural,Female,OBC,9,5,100000,65,1.6,No,None
STU00233,SCH1105,Rajasthan,Jaipur,Urban,Female,OBC,16,11,300000,86,5.5,No,None
STU00234,SCH1172,Maharashtra,Nashik,Semi-Urban,Female,OBC,18,12,150000,94,0.2,No,None
STU00235,SCH1143,Maharashtra,Aurangabad,Urban,Male,OBC,18,12,200000,93,1.8,No,None
STU00236,SCH1013,Rajasthan,Jodhpur,Rural,Female,OBC,10,4,150000,87,4.8,No,None
STU00237,SCH1037,Madhya Pradesh,Indore,Semi-Urban,Male,SC,13,9,75000,100,2.5,Yes,Lack of Interest
STU00238,SCH1031,Rajasthan,Udaipur,Rural,Male,General,14,9,100000,71,6.6,Yes,Lack of Transport
STU00239,SCH1008,Maharashtra,Pune,Rural,Female,OBC,11,6,200000,76,2.4,No,None
STU00240,SCH1057,Rajasthan,Kota,Urban,Male,SC,17,12,300000,90,1.3,No,None
STU00241,SCH1163,Maharashtra,Nashik,Rural,Female,General,11,6,75000,80,3.7,No,None
STU00242,SCH1156,Maharashtra,Aurangabad,Semi-Urban,Male,OBC,11,7,150000,75,0.5,No,None
STU00243,SCH1135,Maharashtra,Aurangabad,Urban,Female,OBC,17,12,100000,61,2.3,No,None
STU00244,SCH1008,Rajasthan,Jaipur,Rural,Female,OBC,17,12,300000,100,4.8,Yes,Child Labour
STU00245,SCH1079,Maharashtra,Aurangabad,Urban,Male,OBC,13,7,75000,76,0.2,No,None
STU00246,SCH1017,Rajasthan,Kota,Rural,Male,OBC,13,7,150000,71,7.2,Yes,Poverty
STU00247,SCH1239,Rajasthan,Jodhpur,Rural,Female,SC,15,9,75000,85,6.4,Yes,Child Labour
STU00248,SCH1054,Rajasthan,Kota,Rural,Male,SC,13,8,50000,62,1.4,Yes,Family Issues
STU00249,SCH1141,Uttar Pradesh,Lucknow,Urban,Female,General,18,12,200000,100,0.2,Yes,Health Issues
STU00250,SCH1139,Rajasthan,Jaipur,Rural,Female,ST,16,12,300000,54,3.6,Yes,Migration
